uuid,申請年度,項次,業者名稱,電廠名稱,施工取得日期,土地面積,裝置容量,縣市,鄉鎮區,地段,地號
ac8c6e25-ed6e-4607-9f92-a4665d47645b,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,327
c5b3c23f-fa67-4f66-b031-18bc8a18b885,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,328
45118f60-2685-4740-8f89-003b247bc441,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,329
b7623e66-2575-4258-ae4a-bb49d1c4501a,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,330
430f1b31-6dc3-4ba7-9f5a-93c2ec323b55,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,331
787e526b-31a1-4cb6-b2d6-a94453e188e2,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,332
2747907b-2391-4a90-9838-d7e0ddec9872,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,333
a0de9e49-bde6-47fa-b798-5a030d291652,108,1,茂盛電業股份有限公司,臺南市台南地區農會怡安果菜市場第二期太陽能電廠,108/04/08,117016.6,2317.2,台南市,安南區,怡中段,386
0c8132ee-1d4f-4446-9770-91898ea7fa0f,108,2,昱鼎電業股份有限公司,台北自來水長興淨水場太陽光電系統,108/03/15,52802,2136.96,台北市,大安區,辛亥段五小段,34
5528aa83-128b-4510-94d5-6742542c302d,108,3,中租電力科技股份有限公司,中租電力科技一號電廠,108/05/02,116093,5493.6,高雄市,永安區,烏樹林段,595
1b6267cd-732a-434a-bd56-a120ac643b16,108,3,中租電力科技股份有限公司,中租電力科技一號電廠,108/05/02,116093,5493.6,高雄市,永安區,烏樹林段,595-14
5f886439-3ca1-460d-96ce-a4becd29a2ca,108,3,中租電力科技股份有限公司,中租電力科技一號電廠,108/05/02,116093,5493.6,高雄市,永安區,烏樹林段,596-1
88624533-2e5f-4384-b72f-1554b242a3cc,108,3,中租電力科技股份有限公司,中租電力科技一號電廠,108/05/02,116093,5493.6,高雄市,永安區,烏樹林段,596-26
05a5b668-7feb-4e4e-9846-80af34563e4c,108,3,中租電力科技股份有限公司,中租電力科技一號電廠,108/05/02,116093,5493.6,高雄市,永安區,烏樹林段,596-27
bad5f987-4d73-46f5-8b99-431a40fc53b7,108,4,永宙太陽能電力股份有限公司,永宙口湖太陽能發電所一期太陽光電系統發電計畫,108/05/22,78555.75,9553.2,雲林縣,口湖鄉,口湖段,585
f1b8befb-67b1-4311-be5d-162607eeeffb,108,4,永宙太陽能電力股份有限公司,永宙口湖太陽能發電所一期太陽光電系統發電計畫,108/05/22,78555.75,9553.2,雲林縣,口湖鄉,口湖段,585-1
fb516ce6-1b93-4944-a18c-4405e61f4d3b,108,4,永宙太陽能電力股份有限公司,永宙口湖太陽能發電所一期太陽光電系統發電計畫,108/05/22,78555.75,9553.2,雲林縣,口湖鄉,口湖段,586
9e82ece7-ad0e-438e-b714-d801966c5553,108,4,永宙太陽能電力股份有限公司,永宙口湖太陽能發電所一期太陽光電系統發電計畫,108/05/22,78555.75,9553.2,雲林縣,口湖鄉,口湖段,586-1
b0273127-0c8f-41ac-8304-ad386e803280,108,4,永宙太陽能電力股份有限公司,永宙口湖太陽能發電所一期太陽光電系統發電計畫,108/05/22,78555.75,9553.2,雲林縣,口湖鄉,口湖段,586-2
ad8dbe56-0cd5-4aa8-8b2a-73b63cf86174,108,4,永宙太陽能電力股份有限公司,永宙口湖太陽能發電所一期太陽光電系統發電計畫,108/05/22,78555.75,9553.2,雲林縣,口湖鄉,口湖段,587
f5a92fe2-8379-4446-9d95-a94d0108a85b,108,4,永宙太陽能電力股份有限公司,永宙口湖太陽能發電所一期太陽光電系統發電計畫,108/05/22,78555.75,9553.2,雲林縣,口湖鄉,口湖段,591-3
