申請年度,項次,業者名稱,電廠名稱,"施工取得 日期",土地面積,裝置容量,縣市,鄉鎮區,地段,地號
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,台區段,116
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,下山子寮段,187
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,下山子寮段,194
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,七股段,13
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,七股段,13-3
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,七股段,13-4
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,篤加段,151-87
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,篤加段,151-572
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,篤加段,151-847
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,篤加段,151-848
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,篤加段,151-1009
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,新篤加段,903
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,新篤加段,904
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,新篤加段,910
111,1,天心智慧能源股份有限公司,天心第一期(第二階段)太陽能光電場,111/04/07,"83,696.640","8,483.480",台南市,七股區,新篤加段,911
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,下山子寮段,196
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,下山子寮段,196-1
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,下山子寮段,196-2
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,下山子寮段,197
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,下山子寮段,197-1
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,下山子寮段,197-2
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,篤加段,151-91
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,篤加段,151-92
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,新篤加段,727
111,2,天心智慧能源股份有限公司,天心第二期(第一階段)太陽能光電場,111/03/10,"33,618.360","3,588.480",台南市,七股區,新篤加段,971
111,3,天心智慧能源股份有限公司,天心第二期(第二階段)太陽能光電場,111/04/06,"14,642.000","1,514.780",台南市,七股區,下山子寮段,193
111,3,天心智慧能源股份有限公司,天心第二期(第二階段)太陽能光電場,111/04/06,"14,642.000","1,514.780",台南市,七股區,下山子寮段,195-138
111,3,天心智慧能源股份有限公司,天心第二期(第二階段)太陽能光電場,111/04/06,"14,642.000","1,514.780",台南市,七股區,篤加段,151-90
111,3,天心智慧能源股份有限公司,天心第二期(第二階段)太陽能光電場,111/04/06,"14,642.000","1,514.780",台南市,七股區,篤加段,151-1012
申請年度,項次,業者名稱,電廠名稱,"施工取得 日期",土地面積,裝置容量,縣市,鄉鎮區,地段,地號
111,4,天任能源股份有限公司,天任第一期(第一階段)太陽能光電場,111/06/13,"30,498.000","3,204.000",台南市,七股區,篤加段,151-51
111,4,天任能源股份有限公司,天任第一期(第一階段)太陽能光電場,111/06/13,"30,498.000","3,204.000",台南市,七股區,篤加段,151-52
111,4,天任能源股份有限公司,天任第一期(第一階段)太陽能光電場,111/06/13,"30,498.000","3,204.000",台南市,七股區,篤加段,151-121
