申請年度,項次,業者名稱,電廠名稱,施工取得日期,土地面積,裝置容量,縣市,鄉鎮區,地段,地號
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,61
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,72-1
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,89
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,118
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,119
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,126
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,128
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,132
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,133
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,134
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,135-2
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,136
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,149
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,149
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,247
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,247-1
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,253
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,264
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,267
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,284
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,411
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,828
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,834
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,883
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,932
110,1,昱昶能源有限公司籌備處,昱昶能源第一期太陽光電發電廠(第一階段),110/03/30,"104,429.990","14,320.800",雲林縣,台西鄉,尚德段,1122
