申請年度,項次,業者名稱,電廠名稱,"施工取得 日期",土地面積,裝置容量,縣市,鄉鎮區,地段,地號
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,51
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,52
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,54
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,55
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,56
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,57
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,58
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,59
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,60
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,61
112,1,普登太陽能企業股份有限公司,苗栗縣銅鑼鄉竹森太陽光電發電廠,112/04/21,"83,222.970","7,196.800",苗栗縣,銅鑼鄉,竹森段,62
